Community Area Number,Community Area Name,Group,Trimester Prenatal Care Began,Births 2000,Percent 2000,total births_2000,weighted_avg_percent_2000,Births 2001,Percent 2001,total births_2001,weighted_avg_percent_2001,Births 2002,Percent 2002,total births_2002,weighted_avg_percent_2002,Births 2003,Percent 2003,total births_2003,weighted_avg_percent_2003,Births 2004,Percent 2004,total births_2004,weighted_avg_percent_2004,Births 2005,Percent 2005,total births_2005,weighted_avg_percent_2005,Births 2006,Percent 2006,total births_2006,weighted_avg_percent_2006,Births 2007,Percent 2007,total births_2007,weighted_avg_percent_2007,Births 2008,Percent 2008,total births_2008,weighted_avg_percent_2008,Births 2009,Percent 2009,total births_2009,weighted_avg_percent_2009
39,KENWOOD,Moderately,1ST TRIMESTER,210,82.7,8661,2.005195705,222,84.1,9088,2.054379401,197,82.4,9004,1.802843181,196,78.4,9035,1.700763697,189,82.2,8400,1.8495,167,81.1,8699,1.556926083,190,82.3,9112,1.716088674,198,85.3,8929,1.891522007,187,79.9,8684,1.720555044,170,77.6,8461,1.559153764
51,SOUTH DEERING,More,1ST TRIMESTER,227,77.5,9123,1.928367861,215,77.6,9196,1.814267073,195,80.6,8919,1.762193071,205,78.8,8663,1.864711994,191,78.3,8197,1.824484568,180,80.7,8185,1.774709835,187,81,8503,1.781371281,182,78.4,8315,1.716031269,194,74.6,7848,1.844087666,186,76.9,7352,1.945511425
40,WASHINGTON PARK,Most,1ST TRIMESTER,237,64.8,5954,2.57937521,236,77.1,5858,3.106111301,198,73.6,5525,2.63761086,201,70.8,5236,2.717876241,196,71,5118,2.719030871,196,73.7,5002,2.887884846,196,72.1,5219,2.707721786,178,71.8,5307,2.408215564,174,76.7,5085,2.624542773,173,74.9,4748,2.729085931
41,HYDE PARK,Less,1ST TRIMESTER,280,84.3,6617,3.567175457,275,85.7,6846,3.44252118,270,84.9,6851,3.3459349,294,86.7,6795,3.751258278,253,87.8,6411,3.464888473,250,85.3,6729,3.16911874,231,86.8,6983,2.871373335,227,86.6,6965,2.822426418,219,81.4,6864,2.597115385,204,80.3,6925,2.365516245
42,WOODLAWN,More,1ST TRIMESTER,315,68.2,9123,2.354817494,323,74.1,9196,2.60268595,289,69.8,8919,2.261710954,312,69.2,8663,2.492254415,303,74.8,8197,2.764962791,293,73.3,8185,2.623934026,332,76.3,8503,2.979136775,335,81.1,8315,3.267408298,289,75.5,7848,2.780262487,266,73.3,7352,2.652040261
43,SOUTH SHORE,More,1ST TRIMESTER,744,72,9123,5.871752713,800,77,9196,6.698564593,661,73.9,8919,5.476835968,636,71.8,8663,5.271245527,667,75.2,8197,6.11911675,670,75.5,8185,6.180207697,675,76.4,8503,6.064918264,682,74.9,8315,6.143331329,562,71.5,7848,5.120158002,599,71.9,7352,5.858011425
44,CHATHAM,Most,1ST TRIMESTER,381,76.5,5954,4.895280484,396,75.9,5858,5.130829635,397,77.5,5525,5.568778281,376,76.6,5236,5.500687548,328,76.5,5118,4.902696366,334,75.1,5002,5.01467413,367,75.1,5219,5.281030849,352,75.5,5307,5.007725645,325,73.2,5085,4.678466077,330,72.5,4748,5.038963774
45,AVALON PARK,Most,1ST TRIMESTER,109,77.3,5954,1.415132684,106,78.5,5858,1.420450666,97,77.6,5525,1.36238914,98,76,5236,1.422459893,107,73.8,5118,1.542907386,92,76.7,5002,1.410715714,100,72.5,5219,1.389155011,76,75.2,5307,1.076917279,91,77.8,5085,1.392291052,102,74.5,4748,1.600463353
46,SOUTH CHICAGO,More,1ST TRIMESTER,534,73.8,9123,4.319763236,554,74.7,9196,4.500195737,507,73.7,8919,4.189471914,469,74.4,8663,4.027888722,512,78.9,8197,4.92824204,461,74.8,8185,4.212926084,465,77.6,8503,4.243678702,465,73.7,8315,4.12152736,433,76.1,7848,4.198687564,435,75.3,7352,4.455318281
47,BURNSIDE,More,1ST TRIMESTER,38,65.5,9123,0.272826921,39,75,9196,0.318073075,25,71.4,8919,0.200134544,28,66.7,8663,0.215583516,28,68.3,8197,0.233304868,36,72,8185,0.316676848,31,66,8503,0.240620957,37,78.7,8315,0.350198437,32,66.7,7848,0.27196738,26,68.4,7352,0.241893362
